,zillow_id,furniture,texture
823,72178157,chair3,wood
824,72178157,chair4,wood
825,72178157,chair5,wood
826,72178157,sofa1,leather
827,72178157,sofa2,wood
828,72178117,bed1,stone
829,72178117,chair1,wood
830,72178117,sofa2,wood
831,72178117,sofa3,wood
832,72178069,chair1,wood
833,72178069,chair2,wood
834,72178069,chair3,leather
835,72177965,chair1,wood
836,72177965,chair2,leather
837,72177965,sofa1,leather
838,72177965,sofa3,leather
839,72177940,chair1,leather
840,72177940,chair10,leather
841,72177940,chair11,wood
842,72177940,chair12,wood
843,72177940,chair2,leather
844,72177940,chair3,leather
845,72177940,chair4,leather
846,72177940,chair5,leather
847,72177940,chair6,leather
848,72177940,chair7,leather
849,72177940,chair8,wood
850,72177940,chair9,leather
851,72177899,bed9,wood
852,72177899,chair1,wood
853,72177899,chair10,leather
854,72177899,chair2,wood
855,72177899,chair3,wood
856,72177899,chair4,leather
857,72177899,chair5,wood
858,72177899,chair6,wood
859,72177899,chair7,wood
860,72177899,chair8,wood
861,72177899,sofa1,wood
862,72177899,sofa2,wood
863,72177899,sofa5,leather
864,72177899,sofa9,leather
865,72177860,chair1,wood
866,72177860,chair2,wood
867,72177860,chair3,wood
868,72177860,chair4,leather
869,72177860,chair5,wood
870,72177860,chair6,leather
871,72177860,chair7,wood
872,72177801,chair1,leather
873,72177801,chair10,leather
874,72177801,chair12,leather
875,72177801,chair2,leather
876,72177801,chair3,leather
877,72177801,chair4,wood
878,72177801,chair5,leather
879,72177801,chair6,wood
880,72177801,chair7,leather
881,72177801,chair8,leather
882,72177801,chair9,leather
883,72177801,sofa1,wood
884,72177801,sofa11,wood
885,72177541,chair1,leather
886,72177541,chair2,wood
887,72177541,chair3,leather
888,72177541,chair4,leather
889,72177541,chair5,wood
890,72177541,chair6,leather
891,72177541,sofa1,leather
892,72177540,chair1,leather
893,72177540,chair2,leather
894,72177540,chair3,wood
895,72177540,chair4,leather
896,72177540,chair5,wood
897,72177540,chair6,wood
898,72177526,chair2,wood
899,72177526,chair3,leather
900,72177526,chair4,leather
901,72177526,chair5,leather
902,72177526,sofa1,wood
903,72177526,sofa2,stone
904,72177463,sofa1,leather
905,72177460,chair2,leather
906,72177460,sofa1,wood
907,72177448,chair1,leather
908,72177448,chair2,leather
909,72177448,chair3,wood
910,72177448,chair4,wood
911,72177448,chair5,wood
912,72177448,chair6,leather
913,72177448,chair8,leather
914,72177448,sofa1,stone
915,72177448,sofa4,stone
916,72177448,sofa7,leather
917,72177387,chair1,wood
918,72177387,chair2,wood
919,72177387,chair3,leather
920,72177387,chair4,stone
921,72177358,bed1,wood
922,72177211,chair1,stone
923,72177211,chair2,wood
924,72177211,chair3,wood
925,72177173,bed2,wood
926,72177173,chair2,wood
927,72177173,chair3,leather
928,72177173,chair4,wood
929,72177173,chair5,wood
930,72177173,chair6,wood
931,72177173,chair7,wood
932,72177173,chair8,wood
933,72177173,sofa1,wood
934,72177173,sofa2,wood
935,72177173,sofa3,wood
936,72177173,sofa6,wood
937,72177122,bed1,wood
938,72177122,bed2,wood
939,72176984,chair1,leather
940,72176984,chair2,wood
941,72176984,chair3,wood
942,72176984,chair4,wood
943,72176984,chair5,wood
944,72176984,chair6,wood
945,72176913,chair1,leather
946,72176913,chair2,wood
947,72176913,chair3,wood
948,72176913,chair4,leather
949,72176913,chair5,wood
950,72176913,sofa1,wood
951,72176913,sofa4,wood
952,72176913,sofa5,wood
953,72176821,bed1,leather
954,72176821,chair1,leather
955,72176821,chair2,leather
956,72176821,chair3,wood
957,72176821,sofa1,wood
958,72176821,sofa2,wood
959,72176743,chair1,wood
960,72176743,chair2,wood
961,72176743,chair3,wood
962,72176743,chair4,wood
963,72176710,chair1,wood
964,72176710,chair2,wood
